#label	HHS_region	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_display_name	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	biosample_acc	collected_by	collection_date	complete_fl	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	outbreak	sample_name	scientific_name	serovar	species_taxid	sra_center	sra_release_date	strain	sub_species	target_acc	target_creation_date	tax-id	wgs_acc_prefix	wgs_master_acc
PDT000078352.1|SAMEA1010290|GCA_001231165.1|Campylobacter jejuni||not known|OXC6475|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001231165.1	7092_1#28	Contig	206334	1711833	26	NULL	Generic	PRJEB2075	SAMEA1010290	NULL	2011	1	2077078	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6475	NULL	PDT000078352.1	2015-08-05	197	CUPS	CUPS00000000.1
PDT000078353.1|SAMEA1010248|GCA_001231185.1|Campylobacter jejuni||not known|OXC6431|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001231185.1	7065_7#83	Contig	448776	1660797	16	NULL	Generic	PRJEB2075	SAMEA1010248	NULL	2011	1	2077098	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6431	NULL	PDT000078353.1	2015-08-05	197	CUOM	CUOM00000000.1
PDT000078354.1|SAMEA1010569|GCA_001231205.1|Campylobacter jejuni||not known|OXC6374|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001231205.1	7065_7#28	Contig	265090	1710398	24	NULL	Generic	PRJEB2075	SAMEA1010569	NULL	2011	1	2077118	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6374	NULL	PDT000078354.1	2015-08-05	197	CUMB	CUMB00000000.1
PDT000078355.1|SAMEA1010377|GCA_001231245.1|Campylobacter jejuni||not known|OXC6438|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001231245.1	7065_7#90	Contig	286472	1723367	15	NULL	Generic	PRJEB2075	SAMEA1010377	NULL	2011	1	2077158	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6438	NULL	PDT000078355.1	2015-08-05	197	CUOS	CUOS00000000.1
PDT000078356.1|SAMEA1010600|GCA_001231345.1|Campylobacter jejuni||not known|OXC6370|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001231345.1	7065_7#24	Contig	262487	1617858	19	NULL	Generic	PRJEB2075	SAMEA1010600	NULL	2011	1	2077258	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6370	NULL	PDT000078356.1	2015-08-05	197	CULX	CULX00000000.1
PDT000078357.1|SAMEA1010601|GCA_001231385.1|Campylobacter jejuni||not known|OXC6501|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001231385.1	7092_1#54	Contig	165470	1641366	14	NULL	Generic	PRJEB2075	SAMEA1010601	NULL	2011	1	2077298	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6501	NULL	PDT000078357.1	2015-08-05	197	CUQU	CUQU00000000.1
PDT000078358.1|SAMEA1010353|GCA_001231405.1|Campylobacter jejuni||not known|OXC6435|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001231405.1	7065_7#87	Contig	228987	1832562	50	NULL	Generic	PRJEB2075	SAMEA1010353	NULL	2011	1	2077318	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6435	NULL	PDT000078358.1	2015-08-05	197	CUOP	CUOP00000000.1
PDT000078359.1|SAMEA1010536|GCA_001231425.1|Campylobacter jejuni||not known|OXC6335|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001231425.1	7038_3#85	Contig	191742	1710394	17	NULL	Generic	PRJEB2075	SAMEA1010536	NULL	2011	1	2077338	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6335	NULL	PDT000078359.1	2015-08-05	197	CUKU	CUKU00000000.1
PDT000078360.1|SAMEA1010525|GCA_001231505.1|Campylobacter jejuni||not known|OXC6348|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001231505.1	7065_7#2	Contig	285656	1655164	18	NULL	Generic	PRJEB2075	SAMEA1010525	NULL	2011	1	2077418	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6348	NULL	PDT000078360.1	2015-08-05	197	CULQ	CULQ00000000.1
PDT000078361.1|SAMEA1010487|GCA_001231585.1|Campylobacter jejuni||not known|OXC6401|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001231585.1	7065_7#53	Contig	401971	1643371	11	NULL	Generic	PRJEB2075	SAMEA1010487	NULL	2011	1	2077498	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6401	NULL	PDT000078361.1	2015-08-05	197	CUND	CUND00000000.1
PDT000078362.1|SAMEA1010459|GCA_001231605.1|Campylobacter jejuni||not known|OXC6382|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001231605.1	7065_7#36	Contig	138868	1693399	28	NULL	Generic	PRJEB2075	SAMEA1010459	NULL	2011	1	2077518	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6382	NULL	PDT000078362.1	2015-08-05	197	CUMK	CUMK00000000.1
PDT000078363.1|SAMEA1010650|GCA_001231625.1|Campylobacter jejuni||not known|OXC6311|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001231625.1	7038_3#61	Contig	218960	1701008	19	NULL	Generic	PRJEB2075	SAMEA1010650	NULL	2011	1	2077538	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6311	NULL	PDT000078363.1	2015-08-05	197	CUJU	CUJU00000000.1
PDT000078364.1|SAMEA1010662|GCA_001231685.1|Campylobacter jejuni||not known|OXC6450|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001231685.1	7092_1#4	Contig	213332	1681761	18	NULL	Generic	PRJEB2075	SAMEA1010662	NULL	2011	1	2077598	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6450	NULL	PDT000078364.1	2015-08-05	197	CUQF	CUQF00000000.1
PDT000078365.1|SAMEA1401413|GCA_001231705.1|Campylobacter jejuni||not known|OXC6632|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001231705.1	7213_3#87	Contig	455267	1689353	8	NULL	Generic	PRJEB2075	SAMEA1401413	NULL	2011	1	2077618	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6632	NULL	PDT000078365.1	2015-08-05	197	CUVS	CUVS00000000.1
PDT000078366.1|SAMEA1401461|GCA_001231745.1|Campylobacter jejuni||not known|OXC6553|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001231745.1	7213_3#10	Contig	194602	1751152	17	NULL	Generic	PRJEB2075	SAMEA1401461	NULL	2011	1	2077658	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6553	NULL	PDT000078366.1	2015-08-05	197	CUSP	CUSP00000000.1
PDT000078367.1|SAMEA1010315|GCA_001231765.1|Campylobacter jejuni||not known|OXC6468|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001231765.1	7092_1#21	Contig	185693	1743714	30	NULL	Generic	PRJEB2075	SAMEA1010315	NULL	2011	1	2077678	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6468	NULL	PDT000078367.1	2015-08-05	197	CUPL	CUPL00000000.1
PDT000078368.1|SAMEA1010635|GCA_001231785.1|Campylobacter jejuni||not known|OXC6284|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001231785.1	7038_3#34	Contig	207222	1686049	13	NULL	Generic	PRJEB2075	SAMEA1010635	NULL	2011	1	2077698	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6284	NULL	PDT000078368.1	2015-08-05	197	CUIS	CUIS00000000.1
PDT000078369.1|SAMEA1401617|GCA_001231845.1|Campylobacter jejuni||not known|OXC6575|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001231845.1	7213_3#32	Contig	149809	1729870	28	NULL	Generic	PRJEB2075	SAMEA1401617	NULL	2011	1	2077758	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6575	NULL	PDT000078369.1	2015-08-05	197	CUTP	CUTP00000000.1
PDT000078370.1|SAMEA1010671|GCA_001231905.1|Campylobacter jejuni||not known|OXC6464|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001231905.1	7092_1#17	Contig	153919	1660538	19	NULL	Generic	PRJEB2075	SAMEA1010671	NULL	2011	1	2077818	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6464	NULL	PDT000078370.1	2015-08-05	197	CUPG	CUPG00000000.1
PDT000078371.1|SAMEA1010506|GCA_001231985.1|Campylobacter jejuni||not known|OXC6331|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001231985.1	7038_3#81	Contig	289092	1676876	17	NULL	Generic	PRJEB2075	SAMEA1010506	NULL	2011	1	2077898	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6331	NULL	PDT000078371.1	2015-08-05	197	CUKQ	CUKQ00000000.1
PDT000078372.1|SAMEA1010630|GCA_001232125.1|Campylobacter jejuni||not known|OXC6299|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001232125.1	7038_3#49	Contig	233515	1746320	20	NULL	Generic	PRJEB2075	SAMEA1010630	NULL	2011	1	2078038	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6299	NULL	PDT000078372.1	2015-08-05	197	CUJG	CUJG00000000.1
PDT000078373.1|SAMEA1401020|GCA_001232145.1|Campylobacter jejuni||not known|OXC6567|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001232145.1	7213_3#24	Contig	271517	1745113	15	NULL	Generic	PRJEB2075	SAMEA1401020	NULL	2011	1	2078058	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6567	NULL	PDT000078373.1	2015-08-05	197	CUTG	CUTG00000000.1
PDT000078374.1|SAMEA1400919|GCA_001232165.1|Campylobacter jejuni||not known|OXC6641|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001232165.1	7213_3#96	Contig	293799	1619659	14	NULL	Generic	PRJEB2075	SAMEA1400919	NULL	2011	1	2078078	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6641	NULL	PDT000078374.1	2015-08-05	197	CUWB	CUWB00000000.1
PDT000078375.1|SAMEA1401582|GCA_001232205.1|Campylobacter jejuni||not known|OXC6549|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001232205.1	7213_3#6	Contig	197771	1645984	18	NULL	Generic	PRJEB2075	SAMEA1401582	NULL	2011	1	2078118	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6549	NULL	PDT000078375.1	2015-08-05	197	CUUQ	CUUQ00000000.1
PDT000078376.1|SAMEA1010574|GCA_001232265.1|Campylobacter jejuni||not known|OXC6293|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001232265.1	7038_3#43	Contig	215516	1637854	16	NULL	Generic	PRJEB2075	SAMEA1010574	NULL	2011	1	2078178	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6293	NULL	PDT000078376.1	2015-08-05	197	CUJA	CUJA00000000.1
PDT000078377.1|SAMEA1010255|GCA_001232325.1|Campylobacter jejuni||not known|OXC6430|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001232325.1	7065_7#82	Contig	171141	1704814	24	NULL	Generic	PRJEB2075	SAMEA1010255	NULL	2011	1	2078238	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6430	NULL	PDT000078377.1	2015-08-05	197	CUOK	CUOK00000000.1
PDT000078378.1|SAMEA1401134|GCA_001232365.1|Campylobacter jejuni||not known|OXC6560|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001232365.1	7213_3#17	Contig	267832	1759690	19	NULL	Generic	PRJEB2075	SAMEA1401134	NULL	2011	1	2078278	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6560	NULL	PDT000078378.1	2015-08-05	197	CUSY	CUSY00000000.1
PDT000078379.1|SAMEA1010387|GCA_001232405.1|Campylobacter jejuni||not known|OXC6250|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001232405.1	7038_3#1	Contig	227162	1686542	11	NULL	Generic	PRJEB2075	SAMEA1010387	NULL	2011	1	2078318	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6250	NULL	PDT000078379.1	2015-08-05	197	CUHN	CUHN00000000.1
PDT000078380.1|SAMEA1010323|GCA_001232425.1|Campylobacter jejuni||not known|OXC6409|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001232425.1	7065_7#61	Contig	212298	1585139	10	NULL	Generic	PRJEB2075	SAMEA1010323	NULL	2011	1	2078338	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6409	NULL	PDT000078380.1	2015-08-05	197	CUNM	CUNM00000000.1
PDT000078381.1|SAMEA1010380|GCA_001232465.1|Campylobacter jejuni||not known|OXC6352|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001232465.1	7065_7#6	Contig	317997	1781309	22	NULL	Generic	PRJEB2075	SAMEA1010380	NULL	2011	1	2078378	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6352	NULL	PDT000078381.1	2015-08-05	197	CUNL	CUNL00000000.1
PDT000078382.1|SAMEA1010422|GCA_001232485.1|Campylobacter jejuni||not known|OXC6342|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001232485.1	7038_3#92	Contig	489662	1664818	13	NULL	Generic	PRJEB2075	SAMEA1010422	NULL	2011	1	2078398	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6342	NULL	PDT000078382.1	2015-08-05	197	CULC	CULC00000000.1
PDT000078383.1|SAMEA1010298|GCA_001232545.1|Campylobacter jejuni||not known|OXC6494|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001232545.1	7092_1#47	Contig	291320	1733301	18	NULL	Generic	PRJEB2075	SAMEA1010298	NULL	2011	1	2078458	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6494	NULL	PDT000078383.1	2015-08-05	197	CUQN	CUQN00000000.1
PDT000078384.1|SAMEA1401533|GCA_001232565.1|Campylobacter jejuni||not known|OXC6552|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001232565.1	7213_3#9	Contig	226325	1695423	18	NULL	Generic	PRJEB2075	SAMEA1401533	NULL	2011	1	2078478	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6552	NULL	PDT000078384.1	2015-08-05	197	CUVV	CUVV00000000.1
PDT000078385.1|SAMEA1010297|GCA_001232585.1|Campylobacter jejuni||not known|OXC6402|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001232585.1	7065_7#54	Contig	285656	1641593	8	NULL	Generic	PRJEB2075	SAMEA1010297	NULL	2011	1	2078498	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6402	NULL	PDT000078385.1	2015-08-05	197	CUNF	CUNF00000000.1
PDT000078386.1|SAMEA1401505|GCA_001232665.1|Campylobacter jejuni||not known|OXC6550|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001232665.1	7213_3#7	Contig	180020	1840518	55	NULL	Generic	PRJEB2075	SAMEA1401505	NULL	2011	1	2078578	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6550	NULL	PDT000078386.1	2015-08-05	197	CUUZ	CUUZ00000000.1
PDT000078387.1|SAMEA1010286|GCA_001232705.1|Campylobacter jejuni||not known|OXC6365|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001232705.1	7065_7#19	Contig	184979	1605993	22	NULL	Generic	PRJEB2075	SAMEA1010286	NULL	2011	1	2078618	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6365	NULL	PDT000078387.1	2015-08-05	197	CULR	CULR00000000.1
PDT000078388.1|SAMEA1010558|GCA_001232725.1|Campylobacter jejuni||not known|OXC6373|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001232725.1	7065_7#27	Contig	184066	1631780	16	NULL	Generic	PRJEB2075	SAMEA1010558	NULL	2011	1	2078638	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6373	NULL	PDT000078388.1	2015-08-05	197	CUMA	CUMA00000000.1
PDT000078389.1|SAMEA1010439|GCA_001232745.1|Campylobacter jejuni||not known|OXC6530|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001232745.1	7092_1#83	Contig	213041	1666036	17	NULL	Generic	PRJEB2075	SAMEA1010439	NULL	2011	1	2078658	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6530	NULL	PDT000078389.1	2015-08-05	197	CUSB	CUSB00000000.1
PDT000078390.1|SAMEA1401160|GCA_001232825.1|Campylobacter jejuni||not known|OXC6563|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001232825.1	7213_3#20	Contig	209862	1703548	16	NULL	Generic	PRJEB2075	SAMEA1401160	NULL	2011	1	2078738	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6563	NULL	PDT000078390.1	2015-08-05	197	CUTC	CUTC00000000.1
PDT000078391.1|SAMEA1010288|GCA_001232885.1|Campylobacter jejuni||not known|OXC6493|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001232885.1	7092_1#46	Contig	174375	1664469	20	NULL	Generic	PRJEB2075	SAMEA1010288	NULL	2011	1	2078798	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6493	NULL	PDT000078391.1	2015-08-05	197	CUQM	CUQM00000000.1
PDT000078392.1|SAMEA1010595|GCA_001232905.1|Campylobacter jejuni||not known|OXC6461|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001232905.1	7092_1#14	Contig	188162	1665638	16	NULL	Generic	PRJEB2075	SAMEA1010595	NULL	2011	1	2078818	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6461	NULL	PDT000078392.1	2015-08-05	197	CUPD	CUPD00000000.1
PDT000078393.1|SAMEA1010291|GCA_001232925.1|Campylobacter jejuni||not known|OXC6269|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001232925.1	7038_3#20	Contig	198152	1717846	18	NULL	Generic	PRJEB2075	SAMEA1010291	NULL	2011	1	2078838	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6269	NULL	PDT000078393.1	2015-08-05	197	CUIC	CUIC00000000.1
PDT000078394.1|SAMEA1010265|GCA_001232945.1|Campylobacter jejuni||not known|OXC6491|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001232945.1	7092_1#44	Contig	237240	1724497	13	NULL	Generic	PRJEB2075	SAMEA1010265	NULL	2011	1	2078858	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6491	NULL	PDT000078394.1	2015-08-05	197	CUQK	CUQK00000000.1
PDT000078395.1|SAMEA1400820|GCA_001232965.1|Campylobacter jejuni||not known|OXC6629|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001232965.1	7213_3#84	Contig	195958	1703223	27	NULL	Generic	PRJEB2075	SAMEA1400820	NULL	2011	1	2078878	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6629	NULL	PDT000078395.1	2015-08-05	197	CUVP	CUVP00000000.1
PDT000078396.1|SAMEA1010553|GCA_001233005.1|Campylobacter jejuni||not known|OXC6279|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001233005.1	7038_3#30	Contig	312384	1644270	9	NULL	Generic	PRJEB2075	SAMEA1010553	NULL	2011	1	2078918	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6279	NULL	PDT000078396.1	2015-08-05	197	CUIM	CUIM00000000.1
PDT000078397.1|SAMEA1400964|GCA_001233025.1|Campylobacter jejuni||not known|OXC6603|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001233025.1	7213_3#60	Contig	153928	1697065	20	NULL	Generic	PRJEB2075	SAMEA1400964	NULL	2011	1	2078938	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6603	NULL	PDT000078397.1	2015-08-05	197	CUUR	CUUR00000000.1
PDT000078398.1|SAMEA1010631|GCA_001233065.1|Campylobacter jejuni||not known|OXC6503|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001233065.1	7092_1#56	Contig	299636	1668989	17	NULL	Generic	PRJEB2075	SAMEA1010631	NULL	2011	1	2078978	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6503	NULL	PDT000078398.1	2015-08-05	197	CUQX	CUQX00000000.1
PDT000078399.1|SAMEA1010573|GCA_001233085.1|Campylobacter jejuni||not known|OXC6500|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001233085.1	7092_1#53	Contig	191757	1720326	28	NULL	Generic	PRJEB2075	SAMEA1010573	NULL	2011	1	2078998	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6500	NULL	PDT000078399.1	2015-08-05	197	CUQV	CUQV00000000.1
PDT000078400.1|SAMEA1401046|GCA_001233105.1|Campylobacter jejuni||not known|OXC6592|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001233105.1	7213_3#49	Contig	291456	1649795	10	NULL	Generic	PRJEB2075	SAMEA1401046	NULL	2011	1	2079018	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6592	NULL	PDT000078400.1	2015-08-05	197	CUUF	CUUF00000000.1
PDT000078401.1|SAMEA1010551|GCA_001233185.1|Campylobacter jejuni||not known|OXC6412|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001233185.1	7065_7#64	Contig	217255	1693360	17	NULL	Generic	PRJEB2075	SAMEA1010551	NULL	2011	1	2079098	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6412	NULL	PDT000078401.1	2015-08-05	197	CUNP	CUNP00000000.1
PDT000078402.1|SAMEA1010272|GCA_001233225.1|Campylobacter jejuni||not known|OXC6528|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001233225.1	7092_1#81	Contig	150094	1623491	16	NULL	Generic	PRJEB2075	SAMEA1010272	NULL	2011	1	2079138	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6528	NULL	PDT000078402.1	2015-08-05	197	CURZ	CURZ00000000.1
PDT000078403.1|SAMEA1010505|GCA_001233245.1|Campylobacter jejuni||not known|OXC6290|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001233245.1	7038_3#40	Contig	332949	1695865	11	NULL	Generic	PRJEB2075	SAMEA1010505	NULL	2011	1	2079158	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6290	NULL	PDT000078403.1	2015-08-05	197	CUIY	CUIY00000000.1
PDT000078404.1|SAMEA1010271|GCA_001233285.1|Campylobacter jejuni||not known|OXC6272|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001233285.1	7038_3#23	Contig	197802	1689473	19	NULL	Generic	PRJEB2075	SAMEA1010271	NULL	2011	1	2079198	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6272	NULL	PDT000078404.1	2015-08-05	197	CUIE	CUIE00000000.1
PDT000078405.1|SAMEA1010661|GCA_001233305.1|Campylobacter jejuni||not known|OXC6381|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001233305.1	7065_7#35	Contig	194090	1866804	27	NULL	Generic	PRJEB2075	SAMEA1010661	NULL	2011	1	2079218	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6381	NULL	PDT000078405.1	2015-08-05	197	CUMJ	CUMJ00000000.1
PDT000078406.1|SAMEA1010639|GCA_001233325.1|Campylobacter jejuni||not known|OXC6418|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001233325.1	7065_7#70	Contig	245868	1697438	12	NULL	Generic	PRJEB2075	SAMEA1010639	NULL	2011	1	2079238	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6418	NULL	PDT000078406.1	2015-08-05	197	CUNW	CUNW00000000.1
PDT000078407.1|SAMEA1401257|GCA_001233405.1|Campylobacter jejuni||not known|OXC6570|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001233405.1	7213_3#27	Contig	460532	1651430	6	NULL	Generic	PRJEB2075	SAMEA1401257	NULL	2011	1	2079318	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6570	NULL	PDT000078407.1	2015-08-05	197	CUTJ	CUTJ00000000.1
PDT000078408.1|SAMEA1401241|GCA_001233465.1|Campylobacter jejuni||not known|OXC6571|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001233465.1	7213_3#28	Contig	184710	1676845	21	NULL	Generic	PRJEB2075	SAMEA1401241	NULL	2011	1	2079378	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6571	NULL	PDT000078408.1	2015-08-05	197	CUTK	CUTK00000000.1
